,year,quarter,title,studio,castcrew,link_en
29,2001,Q1,Elling,Maipo Film,"Svein Krøvel (director); Petter Næss (screenplay); Per Christian Ellefsen, Sven Nordin, Marit Pia Jacobsen, Jørgen Langhelle, Per Christensen, Hilde Olausson, Ola Otnes, Eli Anne Linnestad, Cecilie A. Mosli, Joachim Rafaelsen, Per Gørvell, Knud Dahl, Knut Haugmark",/wiki/Elling
30,2001,Q1,Enemy at the Gates,Paramount Pictures / Mandalay Pictures,"Jean-Jacques Annaud (director/screenplay); Alain Godard (screenplay); Jude Law, Joseph Fiennes, Rachel Weisz, Bob Hoskins, Ed Harris, Ron Perlman",/wiki/Enemy_at_the_Gates
31,2001,Q1,Exit Wounds,Warner Bros. Pictures / Village Roadshow Pictures / Silver Pictures,"Andrzej Bartkowiak (director); Ed Horowitz, Richard D'Ovidio (screenplay); Steven Seagal, DMX, Isaiah Washington, Jill Hennessy, Anthony Anderson, Michael Jai White, David Vadim, Shane Daly, Bill Duke, Tom Arnold, Bruce McGill, Eva Mendes, Drag-On, Jennifer Irwin, Matthew G. Taylor, Paolo Mastropieto",/wiki/Exit_Wounds
32,2001,Q1,Memento,Newmarket Films / Summit Entertainment,"Christopher Nolan (director/screenplay); Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Stephen Tobolowsky, Harriet Sansom Harris, Callum Keith Rennie, Larry Holden, Jorja Fox",/wiki/Memento_(film)
33,2001,Q1,The Brothers,Screen Gems,"Gary Hardwick (director/screenplay); Morris Chestnut, D. L. Hughley, Bill Bellamy, Shemar Moore, Gabrielle Union, Tatyana Ali, Jenifer Lewis, Susan Dalian, Tamala Jones, Clifton Powell, Julie Benz, Vanessa Bell Calloway, Angelle Brooks, Gary Hardwick, Nadege Auguste",/wiki/The_Brothers_(2001_film)
34,2001,Q1,Heartbreakers,Metro-Goldwyn-Mayer,"David Mirkin (director); Robert Dunn, Paul Guay, Stephen Mazur (screenplay); Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee, Gene Hackman, Anne Bancroft, Jeffrey Jones, Nora Dunn, Julio Oscar Mechoso, Ricky Jay, Sarah Silverman, Zach Galifianakis, Michael Hitchcock, Carrie Fisher, Elya Baskin",/wiki/Heartbreakers_(2001_film)
35,2001,Q1,Say It Isn't So,20th Century Fox,"J. B. Rogers (director); Peter Gaulke, Gerry Swallow (screenplay); Chris Klein, Heather Graham, Orlando Jones, Sally Field, Richard Jenkins, John Rothman, Jack Plotnick, Eddie Cibrian, Mark Pellegrino, Henry Cho, Brent Hinkley, Richard Riehle, Brent Briscoe, Ezra Buzzington, Julie White, Courtney Peldon, Matthew Peters, Lin Shaye, C. Ernst Harth, Sarah Silverman",/wiki/Say_It_Isn%27t_So_(film)
36,2001,Q1,Wit,HBO Films,"Mike Nichols (director/screenplay); Emma Thompson (screenplay); Emma Thompson, Christopher Lloyd, Eileen Atkins, Audra McDonald, Jonathan M. Woodward, Harold Pinter, Rebecca Laurie, Su Lin Looi, Raffaello Degruttola, Miquel Brown, Hari Dhillon, Benedict Wong, Alex Gregor, Lachele Carl, David Menkin, Rachel Siegel, Shauna Shim, Matt Blair, David Zayas, Tassia Messimeris, Norman Naudain, Emma Bernbach, Jenny Jules, Gary Beadle, Anne Karam, Ruel Rowe",/wiki/Wit_(film)
37,2001,Q1,Someone Like You,20th Century Fox / Fox 2000 Pictures,"Tony Goldwyn (director); Elizabeth Chandler (screenplay); Ashley Judd, Greg Kinnear, Hugh Jackman, Marisa Tomei, Ellen Barkin, Catherine Dent, Peter Friedman, Laura Regan",/wiki/Someone_like_You_(film)
38,2001,Q1,Spy Kids,Dimension Films / Troublemaker Studios,"Robert Rodriguez (director/screenplay); Antonio Banderas, Carla Gugino, Alexa Vega, Daryl Sabara, Alan Cumming, Tony Shalhoub, Teri Hatcher, Cheech Marin, Robert Patrick, Danny Trejo, Mike Judge, Richard Linklater, Guillermo Navarro, Evan Sabara, Dick Clark, Angela Lanza, George Clooney",/wiki/Spy_Kids
39,2001,Q1,The Tailor of Panama,Columbia Pictures,"John Boorman (director/screenplay); Andrew Davies, John le Carré (screenplay); Pierce Brosnan, Geoffrey Rush, Jamie Lee Curtis, Leonor Varela, Brendan Gleeson, Harold Pinter, Catherine McCormack, Daniel Radcliffe, Martin Ferrero, David Hayman, Mark Margolis, John Fortune, Jon Polito, Dylan Baker, Jonathan Hyde, Lisa Dwan, Lola Boorman, Douglas Waters",/wiki/The_Tailor_of_Panama_(film)
40,2001,Q1,Tomcats,Columbia Pictures / Revolution Studios,"Gregory Poirier (director/screenplay); Jerry O'Connell, Shannon Elizabeth, Jake Busey, Horatio Sanz, Jaime Pressly, Bernie Casey, David Ogden Stiers, Travis Fine, Heather Stephens, Julia Schultz, Scott Beehner, Kam Heskin, J. Kenneth Campbell, Brandi Andres, John Patrick White, Jason Allen, Josh Raisin, David St. James, Buck Kartalian, Alexa Power, Anthony Azizi, Marisa Parker, Lauren Moore, Damon Williams, Amber Smith, Billy Hufsey, Candice Beckman, Dakota Fanning, Joseph D. Reitman, Bill Maher, Garry Marshall, Emilio Rivera, Thomas Rosales Jr.",/wiki/Tomcats_(2001_film)
0,2001,Q2,Yamakasi,Europa Corp.,"Philippe Piffeteau (director); Ariel Zeitoun, Julien Seri (screenplay); Châu Belle Dinh, Williams Belle, Malik Diouf, Yann H'Nautra, Guylain N'Guba Boyeke, Laurent Piemontesi, Charles Perrière",/wiki/Yamakasi_(film)
1,2001,Q2,Along Came a Spider,Paramount Pictures,"Lee Tamahori (director); Marc Moss (screenplay); Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem, Billy Burke, Anton Yelchin, Jay O. Sanders, Michael Moriarty, Penelope Ann Miller, Anna Maria Horsford",/wiki/Along_Came_a_Spider_(film)
2,2001,Q2,Blow,New Line Cinema,"Ted Demme (director); Nick Cassavetes, David McKenna (screenplay); Johnny Depp, Jordi Mollà, Penélope Cruz, Ray Liotta, Paul Reubens, Franka Potente, Rachel Griffiths, Cliff Curtis, Max Perlich, Miguel Sandoval, Ethan Suplee, Elizabeth Rodriguez, Kevin Gage, Tony Amendola, Bobcat Goldthwait, Michael Tucci, Monet Mazur, Lola Glaudini, Jennifer Gimenez, Emma Roberts, Jaime King, Jesse James, Alan James Morgan",/wiki/Blow_(film)
3,2001,Q2,Just Visiting,Hollywood Pictures,"Jean-Marie Gaubert (director); Jean-Marie Poiré, Christian Clavier, John Hughes (screenplay); Jean Reno, Christina Applegate, Christian Clavier, Matt Ross, Malcolm McDowell, Tara Reid, Bridgette Wilson-Sampras, John Aylward, George Plimpton, Alexis Loret",/wiki/Just_Visiting_(film)
4,2001,Q2,Pokémon 3: The Movie,Warner Bros. Pictures / Nintendo / 4Kids Entertainment,"Kunihiko Yuyama (director); Hideki Sonoda, Takeshi Shudo (screenplay); Veronica Taylor, Ikue Ōtani, Rachael Lillis, Eric Stuart, Lisa Ortiz, Ted Lewis, Kayzie Rogers, Ryan Drummond, Tara Jayne, Roger Kay, Ken Gates, Amy Birnbaum, Lee Quick, Kathy Pilon, Peter R. Bird, Stuart Zagnit, Dan Green",/wiki/Pok%C3%A9mon_3:_The_Movie
5,2001,Q2,Joe Dirt,Columbia Pictures,"Dennie Gordon (director); David Spade, Fred Wolf (screenplay); David Spade, Brittany Daniel, Dennis Miller, Adam Beach, Christopher Walken, Jaime Pressly, Kid Rock, Fred Ward, Rosanna Arquette, Joe Don Baker, Megan Harvey, Caroline Aaron, Brian Thompson, Blake Clark, Hamilton Camp, Mitzi Martin, Tyler Mane, Kevin Farley, John P. Farley, Rance Howard, Steven Brill, Richard Riehle, Bree Turner, Erik Per Sullivan, Hal Fishman, Eddie Money, Carson Daly, Kevin Nealon",/wiki/Joe_Dirt
6,2001,Q2,Josie and the Pussycats,Universal Pictures / Metro-Goldwyn-Mayer,"Harry Elfont, Deborah Kaplan (director/screenplay); Rachael Leigh Cook, Tara Reid, Rosario Dawson, Alan Cumming, Parker Posey, Gabriel Mann, Paulo Costanzo, Missi Pyle, Eugene Levy, Justin Chatwin, Breckin Meyer, Katharine Isabelle, Tom Butler, Donald Faison, Seth Green, Alexander Martin, Serena Altschul, Carson Daly, Aries Spears, Kenneth ""Babyface"" Edmonds, Russ Leatherman, Harry Elfont",/wiki/Josie_and_the_Pussycats_(film)
7,2001,Q2,Kingdom Come,Fox Searchlight Pictures,"Doug McHenry (director); David Dean Bottrell, Jessie Jones (screenplay); LL Cool J, Jada Pinkett Smith, Vivica A. Fox, Loretta Devine, Anthony Anderson, Toni Braxton, Cedric the Entertainer, Darius McCrary, Whoopi Goldberg, Richard Gant, Kellita Smith, Clifton Davis, Masasa Moyo, Dominic Hoffman, Ellis E. Williams",/wiki/Kingdom_Come_(2001_film)
8,2001,Q2,Bridget Jones's Diary,Universal Pictures / StudioCanal / Miramax Films / Working Title Films,"Sharon Maguire (director); Andrew Davies, Richard Curtis (screenplay); Renée Zellweger, Hugh Grant, Colin Firth, Jim Broadbent, Embeth Davidtz, Gemma Jones, Celia Imrie, James Faulkner, Shirley Henderson, James Callis, Sally Phillips, Lisa Barbuscia, Donald Douglas, Charmian May, Paul Brooke, Patrick Barlow, Felicity Montagu, Neil Pearson, Dolly Wells, Salman Rushdie, Julian Barnes, Jeffrey Archer, Honor Blackman, Christopher Kouros",/wiki/Bridget_Jones%27s_Diary_(film)
9,2001,Q2,Hounded,Buena Vista Television,"Neal Israel (director); Don Calame, Chris Conroy (screenplay); Tahj Mowry, Craig Kirkwood, Shia LaBeouf, Ed Begley Jr., Rachelle Carson, Sara Paxton, Steven Bendik, Melinda Haynes, Scott Wilkinsen, Micaela Nelligan, John Armstrong, Irene Santiago, Scott Stevenson, Tony Larimer, Shawn Nottingham, Adam Steele, Olesya Rulin, Danielle Wolverton, Trisha Gallegos, Neal Israel, Don Cosney, Jeff Olson, Curley Green, Matthew Falletta, Steve Short, Jerica Bereece, Chris Provost",/wiki/Hounded_(film)
10,2001,Q2,The Center of the World,Artisan Entertainment,"Wayne Wang (director/screenplay); Miranda July, Paul Auster, Siri Hustvedt (screenplay); Peter Sarsgaard, Molly Parker, Mel Gorham, Alisha Klass, Jason Calacanis, Carla Gugino, Pat Morita, Balthazar Getty, Robert Lefkowitz",/wiki/The_Center_of_the_World
11,2001,Q2,Crocodile Dundee in Los Angeles,Paramount Pictures,"Simon Wincer (director); Matthew Berry, Eric Abrams (screenplay); Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Paul Rodriguez, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Kaitlin Hopkins",/wiki/Crocodile_Dundee_in_Los_Angeles
12,2001,Q2,Freddy Got Fingered,20th Century Fox / Regency Enterprises,"Tom Green (director/screenplay); Derek Harvie (screenplay); Tom Green, Rip Torn, Marisa Coughlan, Eddie Kaye Thomas, Harland Williams, Anthony Michael Hall, Julie Hagerty, Drew Barrymore, Shaquille O'Neal, Jackson Davies, Connor Widdows, Lorena Gale, Noel Fisher, Stephen Tobolowsky",/wiki/Freddy_Got_Fingered
13,2001,Q2,The Body,TriStar Pictures,"Jonas McCord (director/screenplay); Antonio Banderas, Olivia Williams, Jason Flemyng, John Shrapnel, Lillian Lux, John Wood, Derek Jacobi, Mohammed Bakri, Makram Khoury, Sami Samir, Vernon Dobtcheff, Jordan Licht, Limor Goldstein, Ariel Horowitz, Arieh Elias, John Glover",/wiki/The_Body_(2001_film)
14,2001,Q2,With a Friend Like Harry,Miramax Films / Diaphana Films,"Dominik Moll (director/screenplay); Gilles Marchand (screenplay); Laurent Lucas, Sergi Lopez, Mathilde Seigner, Liliane Rovere, Sophie Guillemin, Dominique Rozan, Michel Fau, Victoire de Koster, Laurie Caminata, Lorena Caminata","/wiki/Harry,_He%27s_Here_to_Help"
15,2001,Q2,Driven,Warner Bros. Pictures / Franchise Pictures,"Renny Harlin (director); Sylvester Stallone (screenplay); Sylvester Stallone, Burt Reynolds, Kip Pardue, Til Schweiger, Gina Gershon, Estella Warren, Cristián de la Fuente, Stacy Edwards, Robert Sean Leonard, Jean Alesi, Jacques Villeneuve, Juan Pablo Montoya, Adrian Fernandez, Mark Blundell, Roberto Moreno, Kenny Brack, Tony Kanaan, Mauricio Gugelmin, Max Papis",/wiki/Driven_(2001_film)
16,2001,Q2,The Forsaken,Screen Gems,"J.S. Cardone (director/screenplay); Kerr Smith, Brendan Fehr, Izabella Miko, Johnathon Schaech, Phina Oruche, Simon Rex, Carrie Snodgress, Alexis Thorpe, F.J. Flynn, Sara Downing",/wiki/The_Forsaken_(film)
17,2001,Q2,One Night at McCool's,USA Films,"Harald Zwart (director); Stan Seidel (screenplay); Liv Tyler, Matt Dillon, John Goodman, Paul Reiser, Michael Douglas, Andrew Silverstein, Reba McEntire, Richard Jenkins, Leo Rossi, Andrea Bendewald, Sandy Martin",/wiki/One_Night_at_McCool%27s
18,2001,Q2,Town & Country,New Line Cinema,"Peter Chelsom (director); Michael Laughlin, Buck Henry (screenplay); Warren Beatty, Diane Keaton, Goldie Hawn, Garry Shandling, Andie MacDowell, Jenna Elfman, Nastassja Kinski, Charlton Heston, Marian Seldes, Josh Hartnett, Katharine Towne, Ian McNeice, William Hootkins, Terri Hoyos, Tricia Vessey, Azura Skye, Buck Henry, Charlie Rose",/wiki/Town_%26_Country_(film)
19,2001,Q2,61*,HBO Films,"Billy Crystal (director); Hank Steinberg (screenplay); Barry Pepper, Thomas Jane, Anthony Michael Hall, Richard Masur, Bruce McGill, Chris Bauer, Jennifer Crystal Foley, Christopher McDonald, Bob Gunton, Donald Moffat, Joe Grifasi, Peter Jacobson, Seymour Cassel, Robert Joy, Michael Nouri, Domenick Lombardozzi, Paul Borghese, Bobby Hosea, Renee Taylor, Pat Crowley, Joe Buck, Dane Northcutt, Chip Esten, Scott Connell, Rebecca Klinger, Jon Miller, Cameryn McNabb, Brynne McNabb, Bob Sheppard, David Courtney, Shiva Rose, Mitchell Edmonds, Scott Waara, Jerry Coleman, Connor Trinneer, Matt Kaminsky, JD Cullum, Sean Marquette, Maile Flanagan, Reuben Yabuku, Robert Costanzo, Kiff VandenHeuvel, Scott Williamson, Conor O'Farrell, Mike Carlucci, Tom Candiotti, James Intveld, Anthony Martinez, Brendan McCarthy, Brian Sperling, Justin Collins, Kevin Wensley, Eric Orue, Paul Ambrus, Joe Arnold, Donovan Wallace, Scott Egan, Robby Welles, Scott Bibee, Brian Smith, Ted Billick, Gaston Wurth, Marc Shernan, Jeffrey Dropps, Luke Bonner, Travis Hardin, Mickey Mantle Jr., Billy Crystal, Paul Gallo, Chris Marquette, Mark McGwire, Sammy Sosa",/wiki/61*
20,2001,Q2,Mockingbird Don't Sing,Mainline Releasing,"Harry Bromley Davenport (director); Daryl Haney (screenplay); Tarra Steele, Melissa Errico, Sean Young, Kim Darby",/wiki/Mockingbird_Don%27t_Sing
21,2001,Q2,The Mummy Returns,Universal Pictures / Alphaville Films,"Stephen Sommers (director/screenplay); Brendan Fraser, Rachel Weisz, John Hannah, Freddie Boath, Oded Fehr, Arnold Vosloo, Patricia Velásquez, Alun Armstrong, Adewale Akinnuoye-Agbaje, Shaun Parkes, Dwayne Johnson, Bruce Byron, Joe Dixon, Tom Parker, Aharon Ipale",/wiki/The_Mummy_Returns
22,2001,Q2,The King Is Alive,IFC Films,"Kristian Levring (director/screenplay); Anders Thomas Jensen (screenplay); Miles Anderson, Romane Bohringer, David Bradley, David Calder, Bruce Davison, Brion James, Peter Kubheka, Vusi Kunene, Jennifer Jason Leigh, Janet McTeer, Chris Walker, Lia Williams",/wiki/The_King_Is_Alive
23,2001,Q2,A Knight's Tale,Columbia Pictures,"Brian Helgeland (director/screenplay); Heath Ledger, Mark Addy, Rufus Sewell, Paul Bettany, Shannyn Sossamon, Alan Tudyk, Laura Fraser, Berenice Bejo, James Purefoy, Leagh Conwell, Christopher Cazenove, Steven O'Donnell, Nick Brimble, Roger Ashton-Griffiths, David Schneider, Alice Connor, Berwick Kaler, Jonathan Slinger",/wiki/A_Knight%27s_Tale
24,2001,Q2,About Adam,Miramax Films,"Gerard Stembridge (director); Gerard Stembridge (screenplay); Kate Hudson, Stuart Townsend, Frances O'Connor, Rosaleen Linehan, Charlotte Bradley, Alan Maher, Brendan Dempsey",/wiki/About_Adam
25,2001,Q2,Angel Eyes,Warner Bros. Pictures / Morgan Creek Productions / Franchise Pictures / The Canton Company,"Luis Mandoki (director); Gerald Di Pego (screenplay); Jennifer Lopez, Jim Caviezel, Jeremy Sisto, Terrence Howard, Sônia Braga, Victor Argo, Monet Mazur, Shirley Knight, Daniel Magder, Guylaine St-Onge, Connor McAuley, Jeremy Ratchford, Peter MacNeill, Dan Petronijevic, Eldridge Hyndman, Kari Matchett, Michael Cameron",/wiki/Angel_Eyes_(film)
26,2001,Q2,Shrek,DreamWorks / PDI/DreamWorks,"Andrew Adamson, Vicky Jenson (director); Ted Elliott, Terry Rossio, Joe Stillman, Roger S. H. Schulman (screenplay); Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith, Conrad Vernon, Aron Warner, Andrew Adamson, Jacquie Barnbrook, Guillaume Aretos, John Bisom, Matthew Gonder, Calvin Remsberg, Jean-Paul Vignon, Val Bettin, Ian Abercrombie, Bridget Hoffman, Newell Alexander, Richard Steven Horvitz, Rosemary Alexander, Sherry Hursey, Tom Amundsen, Rif Hutton, Steve Bulen, Donna Lynn Leavy, Mitch Carter, Christina McGregor, David Cowgill, Tony Pope, Ken Danziger, Peter Renaday, Moosie Drier, Claire Salstrom, Iake Eissinmann, Lia Sargent, Elisa Gabrielli, Bridget Sienna, Jean Gilpin, Claudette Wells, Nick Guest, Diz White, Lynnanne Zager, Frank Welker, Patty Cornell, Aleksander Cvjetkovic, Charles Dennis, Mehmet Ali Erbil, Susan Fitzer, Jeremy Harrington, Gary A. Hecker, Phillip Ingram",/wiki/Shrek
27,2001,Q2,Conspiracy,HBO Films,"Frank Pierson (director); Loring Mandel (screenplay); Kenneth Branagh, Stanley Tucci, Colin Firth, Ian McNeice, Kevin McNally, David Threlfall, Ewan Stewart, Brian Pettifer, Nicholas Woodeson, Jonathan Coy, Brendan Coyle, Ben Daniels, Barnaby Kay, Owen Teale, Peter Sullivan, Tom Hiddleston, Ross O'Hennessy, Claire Bullus, Simon Markey, David Glover, David Willoughby, David Spinx, Dirk Martens, Andreas Guenther, Florian Panzner, Hinnerk Schonemann, Sebastian Jacob, Paul Bannon, Nick Brown, Rod Culbertson, Karl Moffatt, Terence Mustoo",/wiki/Conspiracy_(2001_film)
28,2001,Q2,The Man Who Cried,Universal Focus,"Sally Potter (director/screenplay); Christina Ricci, Cate Blanchett, John Turturro, Johnny Depp, Harry Dean Stanton, Oleg Yankovsky, Miriam Karlin, Salvatore Licitra, Iva Bittova",/wiki/The_Man_Who_Cried
29,2001,Q2,Pearl Harbor,Touchstone Pictures / Jerry Bruckheimer Films,"Michael Bay (director); Randall Wallace (screenplay); Ben Affleck, Josh Hartnett, Kate Beckinsale, Cuba Gooding, Jr., Tom Sizemore, Jon Voight, Colm Feore, Mako, Alec Baldwin, Jennifer Garner, Ewen Bremner, William Fichtner, Andrew Bryniarski, Jaime King, Catherine Kellner, William Lee Scott, Greg Zola, Michael Shannon, Matthew Davis, Dan Aykroyd, Kim Coates, Sara Rue, Tony Curran, Nicholas Farrell, Steve Rankin, John Fujioka, Leland Orser, Ted McGinley, Brandon Lozano, Eric Christian Olsen, Sean Faris, Cary-Hiroyuki Tagawa, Scott Wilson, Graham Beckel, Tom Everett, Tomas Arana, Peter Firth, Glenn Morshower, Yuji Okumoto, Madison Mason, Michael Shamus Wiles, Seth Sakai",/wiki/Pearl_Harbor_(film)
30,2001,Q2,The Animal,Columbia Pictures / Revolution Studios,"Luke Greenfield (director); Rob Schneider, Tom Brady (screenplay); Rob Schneider, Colleen Haskell, John C. McGinley, Guy Torry, Edward Asner, Michael Caton, Louis Lombardi, Norm Macdonald, John P. Farley, Adam Sandler, Sebastian Jude, Charlie Stewart, Philip Daniel Bolden, Ron Rogge, Wes Takahashi",/wiki/The_Animal
31,2001,Q2,Moulin Rouge!,20th Century Fox,"Baz Luhrmann (director/screenplay); Craig Pearce (screenplay); Nicole Kidman, Ewan McGregor, Jim Broadbent, Richard Roxburgh, John Leguizamo, Jacek Koman, Caroline O'Connor, Kerry Walker, Lara Mulcahy, Garry McDonald, Matt Whittet, Keith Robinson, David Wenham, Kiruna Stamell, DeObia Oparei, Kylie Minogue, Peter Whitford, Linal Haft",/wiki/Moulin_Rouge!
32,2001,Q2,What's the Worst That Could Happen?,Metro-Goldwyn-Mayer,"Sam Weisman (director); Matthew Chapman (screenplay); Martin Lawrence, Danny DeVito, John Leguizamo, Glenne Headly, Carmen Ejogo, Bernie Mac, Larry Miller, Nora Dunn, Richard Schiff, William Fichtner, Ana Gasteyer, GQ",/wiki/What%27s_the_Worst_That_Could_Happen%3F
33,2001,Q2,The Anniversary Party,Fine Line Features,"Jennifer Jason Leigh, Alan Cumming (director/screenplay); Jennifer Jason Leigh, Alan Cumming, Kevin Kline, John C. Reilly, Jane Adams, Parker Posey, Phoebe Cates, Gwyneth Paltrow, Denis O'Hare, Mina Badie, John Benjamin Hickey, Michael Panes, Jennifer Beals",/wiki/The_Anniversary_Party
34,2001,Q2,Bride of the Wind,Paramount Classics,"Bruce Beresford (director); Marilyn Levy (screenplay); Sarah Wynter, Jonathan Pryce, Vincent Perez, Simon Verhoeven, Gregor Seberg, Dagmar Schwarz, Wolfgang Hubsch, August Schmolzer, Johannes Silberschneider, Hans Steunzer, Robert Herzl",/wiki/Bride_of_the_Wind
35,2001,Q2,Evolution,DreamWorks / Columbia Pictures / The Montecito Picture Company,"Ivan Reitman (director); David Diamond, David Weissman, Don Jakoby (screenplay); David Duchovny, Orlando Jones, Seann William Scott, Julianne Moore, Ted Levine, Ethan Suplee, Michael Ray Bower, Pat Kilbane, Ty Burrell, Dan Aykroyd, Katharine Towne, Gregory Itzin, Ashley Clark, Michelle Wolff, Sarah Silverman, Richard Moll, Michael McGrady, Steven Gilborn, Wayne Duvall, Michael Chapman, Kyle Gass, Lucas Dudley, Steven Pierce, Wendy Braun, Jennifer Savidge, Jerry Trainor, Stephanie Hodge, Kristen Meadows, Winifred Freedman, Miriam Flynn, Mary Pat Gleason, Steve Kehela, Lee Garlington, Kenny Blank, John Cho, Chris Wylde, Marty Belafsky, Tom Davis, Caroline Reitman, Tom Woodruff Jr.",/wiki/Evolution_(2001_film)
36,2001,Q2,Jett Jackson: The Movie,Buena Vista Television,"Shawn Levy (director); Bruce Kalish (screenplay); Lee Thompson Young, Lindy Booth, Nigel Shawn Williams, Ryan Sommers Baum, Kerry Duff, Montrose Hagins, Gordon Greene, Melanie Nicholls-King, Michael Ironside, Jeff Douglas, Robert Bockstael, Tony Munch, Andrew Tarbet, Vincent Corazza, Dan Petronijevic, John Ford, Derwin Jordan, Julie Holdsworth, Jeffrey Knight, George Kash, Marie Cruz, Joe Bostwick, Tim Progosh",/wiki/Jett_Jackson:_The_Movie
37,2001,Q2,Swordfish,Warner Bros. Pictures / Village Roadshow Pictures / Silver Pictures,"Dominic Sena (director); Skip Woods (screenplay); John Travolta, Hugh Jackman, Halle Berry, Don Cheadle, Vinnie Jones, Sam Shepard, Drea de Matteo, Rudolf Martin, Zach Grenier, Camryn Grimes, Kirk B.R. Woller, Carmen Argenziano, Tim DeKay, Angelo Pagan, Laura Lane",/wiki/Swordfish_(film)
38,2001,Q2,Atlantis: The Lost Empire,Walt Disney Pictures,"Gary Trousdale, Kirk Wise (directors); Tab Murphy (screenplay); Michael J. Fox, Cree Summer Francks, James Garner, Corey Burton, Don Novello, Phil Morris, John Mahoney, Claudia Christian, Jacqueline Obradors, Florence Stanley, David Ogden Stiers, Jim Varney, Leonard Nimoy, Jim Cummings, Patrick Pinney, Steve Barr, Mickie McGowan, Rodger Bumpass, Luck Hari, Jack Angel, Jennifer Darling, Sherry Lynn, Bill Striglos, Bob Bergen, Paul Eiding, Phil Proctor",/wiki/Atlantis:_The_Lost_Empire
39,2001,Q2,Lara Croft: Tomb Raider,Paramount Pictures / Mutual Film Company,"Simon West (director); Patrick Massett, John Zinman (screenplay); Angelina Jolie, Jon Voight, Chris Barrie, Iain Glen, Noah Taylor, Daniel Craig, Richard Johnson, Julian Rhind-Tutt, Leslie Phillips, Henry Wyndham",/wiki/Lara_Croft:_Tomb_Raider
40,2001,Q2,Sexy Beast,Fox Searchlight Pictures,"Jonathan Glazer (director); Louis Mellis, David Scinto (screenplay); Ray Winstone, Ben Kingsley, Ian McShane, Amanda Redman, Cavan Kendall, Julianne White, Alvaro Monje, James Fox",/wiki/Sexy_Beast
41,2001,Q2,Dr. Dolittle 2,20th Century Fox / Davis Entertainment,"Steve Carr (director); Hugh Lofting, Larry Levin (screenplay); Eddie Murphy, Raven-Symoné, Jeffrey Jones, Kevin Pollak, Kristen Wilson, Kyla Pratt, Lil Zane, James Avery, Andy Richter, Mark Griffin, Ken Hudson Campbell, Victor Raider-Wexler, Lawrence Pressman, Steve Irwin, Anne Stedman, Googy Gress, Steve Zahn, Norm Macdonald, Lisa Kudrow, Mike Epps, Jacob Vargas, Michael Rapaport, Phil Proctor, Isaac Hayes, Andy Dick, John Witherspoon, Cedric the Entertainer, Jamie Kennedy, David Cross, Bob Odenkirk, David DeLuise, Hal Sparks, Reni Santoni, Georgia Engel, Joey Lauren Adams, Mandy Moore, Frankie Muniz, Michael McKean, David L. Lander, Tom Kenny, Denise Dowse, Renee Taylor, Richard C. Sarafian, Keone Young, Clyde Kusatsu, Tara Mercurio, John DiMaggio",/wiki/Dr._Dolittle_2
42,2001,Q2,The Fast and the Furious,Universal Pictures,"Rob Cohen (director); Gary Scott Thompson, Erik Bergquist, David Ayer (screenplay); Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster, Rick Yune, Chad Lindberg, Johnny Strong, Matt Schulze, Ted Levine, Thom Barry, Noel Gugliemi, Ja Rule, R.J. de Vera, Vyto Ruginis, Reggie Lee, Neal H. Moritz, Rob Cohen",/wiki/The_Fast_and_the_Furious_(2001_film)
43,2001,Q2,The Princess and the Warrior,Sony Pictures Classics,"Tom Tykwer (director/screenplay); Franka Potente, Benno Fürmann, Joachim Król, Lars Rudolph, Melchior Belson, Ludger Pistor, Natja Brunckhorst",/wiki/The_Princess_and_the_Warrior
44,2001,Q2,A.I. Artificial Intelligence,DreamWorks / Warner Bros. Pictures / Amblin Entertainment,"Steven Spielberg (director/screenplay); Haley Joel Osment, Jude Law, Frances O'Connor, Brendan Gleeson, William Hurt, Ben Kingsley, Robin Williams, Meryl Streep, Chris Rock, April Grace, Clark Gregg, Kathryn Morris, Sam Robards, Enrico Colantoni, Jake Thomas, Ashley Scott, Ken Leung, Kevin Sussman, Tom Gallop, Matt Winston, Sabrina Grdevich, Theo Greenly, John Prosky, Paula Malcomson, Michael Berresse, Haley King, Justina Machado, Lily Knight, Rena Owen, Adam Alexi-Malle, Laurence Mason, Brent Sexton, Michael Shamus Wiles, Kelly McCool, Clara Bellar, Wayne Wilderson, Jack Angel, Erik Bauersfeld, Michael Mantell, Miguel Perez, Matt Malloy, Adrian Grenier, Michael Fishman, Ministry",/wiki/A.I._Artificial_Intelligence
